Ad ID,LINK_band,LINK_score
AD001,Strong,98
AD002,Average,34
AD003,Average,55
AD004,Weak,13
AD005,Strong,83
AD006,Strong,77
AD007,Average,45
AD008,Average,59
AD009,Average,64
AD010,Weak,18
AD011,Strong,79
AD012,Average,61
AD013,Strong,75
AD014,Average,53
AD015,Weak,1
AD016,Weak,18
AD017,Weak,1
AD018,Strong,99
AD019,Strong,79
AD020,Strong,90
AD021,Average,31
AD022,Weak,1
AD023,Strong,95
AD024,Strong,94
AD025,Weak,6
AD026,Average,45
AD027,Weak,8
AD028,Strong,78
AD029,Strong,71
AD030,Weak,24
AD031,Average,38
AD032,Average,66
AD033,Weak,28
AD034,Strong,99
AD035,Average,58
AD036,Weak,9
AD037,Average,65
AD038,Strong,73
AD039,Weak,28
AD040,Average,31
AD041,Strong,89
AD042,Average,63
AD043,Weak,29
AD044,Average,54
AD045,Weak,15
AD046,Weak,28
AD047,Average,32
AD048,Average,59
AD049,Weak,16
AD050,Weak,29
AD051,Weak,28
AD052,Average,49
AD053,Weak,24
AD054,Strong,98
AD055,Strong,94
AD056,Weak,5
AD057,Weak,13
AD058,Average,66
AD059,Average,34
AD060,Weak,19
AD061,Strong,78
AD062,Average,51
AD063,Average,37
AD064,Average,69
AD065,Strong,77
AD066,Average,33
AD067,Weak,8
AD068,Average,42
AD069,Average,51
AD070,Average,38
AD071,Average,53
AD072,Average,69
AD073,Strong,99
AD074,Weak,1
AD075,Average,41
AD076,Average,34
AD077,Strong,77
AD078,Weak,16
AD079,Weak,27
AD080,Average,53
AD081,Average,54
AD082,Weak,28
AD083,Average,31
AD084,Strong,93
AD085,Average,50
AD086,Strong,81
AD087,Average,67
AD088,Weak,14
AD089,Strong,99
AD090,Strong,84
AD091,Strong,99
AD092,Strong,86
AD093,Strong,80
AD094,Weak,26
AD095,Average,33
AD096,Weak,8
AD097,Average,48
AD098,Weak,8
AD099,Weak,30
AD100,Strong,97
AD101,Weak,13
AD102,Strong,70
AD103,Average,45
AD104,Weak,30
AD105,Strong,98
AD106,Strong,99
AD107,Average,58
AD108,Strong,77
AD109,Weak,24
AD110,Average,31
AD111,Strong,93
AD112,Average,48
AD113,Average,64
AD114,Average,64
AD115,Weak,11
AD116,Average,51
AD117,Average,58
AD118,Strong,74
AD119,Weak,16
AD120,Strong,99
AD121,Weak,6
AD122,Weak,21
AD123,Average,53
AD124,Average,55
AD125,Average,36
AD126,Weak,1
AD127,Strong,91
AD128,Weak,27
AD129,Average,65
AD130,Average,53
AD131,Average,53
AD132,Average,68
AD133,Average,54
AD134,Strong,99
AD135,Weak,13
AD136,Average,56
AD137,Weak,24
AD138,Average,33
AD139,Average,66
AD140,Weak,26
