Respondent ID,Ad ID,BrandRecall_anchor_authenticity,Credibility_anchor_authenticity,Enjoyment_anchor_authenticity,Involvement_anchor_authenticity,Memory_anchor_authenticity,Optimisation_anchor_authenticity,Persuasion_anchor_authenticity,Relevance_anchor_authenticity,Understanding_anchor_authenticity,BrandRecall_anchor_brand_recall,BrandRecall_anchor_branding,Credibility_anchor_branding,Enjoyment_anchor_branding,Involvement_anchor_branding,Memory_anchor_branding,Optimisation_anchor_branding,Persuasion_anchor_branding,Relevance_anchor_branding,Understanding_anchor_branding,BrandRecall_anchor_confusion_clarity,Credibility_anchor_confusion_clarity,Enjoyment_anchor_confusion_clarity,Involvement_anchor_confusion_clarity,Memory_anchor_confusion_clarity,Optimisation_anchor_confusion_clarity,Persuasion_anchor_confusion_clarity,Relevance_anchor_confusion_clarity,Understanding_anchor_confusion_clarity,BrandRecall_anchor_credibility,Credibility_anchor_credibility,Enjoyment_anchor_credibility,Involvement_anchor_credibility,Memory_anchor_credibility,Optimisation_anchor_credibility,Persuasion_anchor_credibility,Relevance_anchor_credibility,Understanding_anchor_credibility,BrandRecall_anchor_enjoyability,Credibility_anchor_enjoyability,Enjoyment_anchor_enjoyability,Involvement_anchor_enjoyability,Memory_anchor_enjoyability,Optimisation_anchor_enjoyability,Persuasion_anchor_enjoyability,Relevance_anchor_enjoyability,Understanding_anchor_enjoyability,BrandRecall_anchor_involvement,Credibility_anchor_involvement,Enjoyment_anchor_involvement,Involvement_anchor_involvement,Memory_anchor_involvement,Optimisation_anchor_involvement,Persuasion_anchor_involvement,Relevance_anchor_involvement,Understanding_anchor_involvement,BrandRecall_anchor_personal_relevance,Credibility_anchor_personal_relevance,Enjoyment_anchor_personal_relevance,Involvement_anchor_personal_relevance,Memory_anchor_personal_relevance,Optimisation_anchor_personal_relevance,Persuasion_anchor_personal_relevance,Relevance_anchor_personal_relevance,Understanding_anchor_personal_relevance,BrandRecall_anchor_persuasion,Credibility_anchor_persuasion,Enjoyment_anchor_persuasion,Involvement_anchor_persuasion,Memory_anchor_persuasion,Optimisation_anchor_persuasion,Persuasion_anchor_persuasion,Relevance_anchor_persuasion,Understanding_anchor_persuasion,BrandRecall_anchor_relevance,Credibility_anchor_relevance,Enjoyment_anchor_relevance,Involvement_anchor_relevance,Memory_anchor_relevance,Optimisation_anchor_relevance,Persuasion_anchor_relevance,Relevance_anchor_relevance,Understanding_anchor_relevance,BrandRecall_anchor_reliability_durability,Credibility_anchor_reliability_durability,Enjoyment_anchor_reliability_durability,Involvement_anchor_reliability_durability,Memory_anchor_reliability_durability,Optimisation_anchor_reliability_durability,Persuasion_anchor_reliability_durability,Relevance_anchor_reliability_durability,Understanding_anchor_reliability_durability,BrandRecall_anchor_scepticism,Credibility_anchor_scepticism,Enjoyment_anchor_scepticism,Involvement_anchor_scepticism,Memory_anchor_scepticism,Optimisation_anchor_scepticism,Persuasion_anchor_scepticism,Relevance_anchor_scepticism,Understanding_anchor_scepticism,Understanding_anchor_understanding_accuracy,BrandRecall_anchor_value_for_money,Credibility_anchor_value_for_money,Enjoyment_anchor_value_for_money,Involvement_anchor_value_for_money,Memory_anchor_value_for_money,Optimisation_anchor_value_for_money,Persuasion_anchor_value_for_money,Relevance_anchor_value_for_money,Understanding_anchor_value_for_money,anchor_enjoyability_overall_mean,anchor_enjoyability_overall_std,anchor_involvement_overall_mean,anchor_involvement_overall_std,anchor_credibility_overall_mean,anchor_credibility_overall_std,anchor_persuasion_overall_mean,anchor_persuasion_overall_std,anchor_branding_overall_mean,anchor_branding_overall_std,anchor_confusion_clarity_overall_mean,anchor_confusion_clarity_overall_std,anchor_scepticism_overall_mean,anchor_scepticism_overall_std,anchor_authenticity_overall_mean,anchor_authenticity_overall_std,anchor_personal_relevance_overall_mean,anchor_personal_relevance_overall_std,anchor_relevance_overall_mean,anchor_relevance_overall_std,anchor_value_for_money_overall_mean,anchor_value_for_money_overall_std,anchor_reliability_durability_overall_mean,anchor_reliability_durability_overall_std,anchor_brand_recall_overall_mean,anchor_brand_recall_overall_std,anchor_understanding_accuracy_overall_mean,anchor_understanding_accuracy_overall_std,n_themes_scored,Order Shown,Brand,Ad / Platform
R00001,AD001,0.15246484,0.73781323,0.35563645,0.35117844,0.3189952,0.26435804,0.35530484,0.43910125,0.34446037,0.0,0.31968814,0.49497458,0.19282416,0.20008901,0.36025846,0.59774554,0.26296282,0.2943638,0.42908457,0.28550354,0.40165824,0.22655824,0.30315834,0.33350936,0.3964521,0.22899072,0.36351115,0.38134962,0.2089999,0.812834,0.24932243,0.27881968,0.39109582,0.40199462,0.40048507,0.384056,0.47841066,0.22107266,0.55896276,0.54957217,0.30027846,0.44050333,0.39018825,0.33448124,0.3342654,0.42859596,0.25326848,0.5474177,0.3108511,0.4246351,0.44670945,0.55347025,0.3622584,0.48101103,0.45336676,0.23735774,0.47149095,0.2386111,0.20888835,0.3940488,0.31979215,0.30251953,0.5486093,0.3028553,0.24594717,0.5249888,0.2862056,0.32363752,0.28854278,0.4746813,0.58897823,0.35737532,0.38657662,0.19713949,0.4665479,0.23948176,0.28061017,0.36088008,0.31676558,0.32925037,0.6285059,0.36996466,0.2117834,0.5542985,0.21981086,0.2756298,0.2683402,0.30794582,0.45370582,0.28230652,0.41567665,0.17487797,0.5419923,0.2872796,0.27171585,0.27524206,0.33449763,0.34558544,0.33520073,0.31845474,0.7858027219772339,0.20301831,0.5265123,0.24200271,0.19188608,0.23376396,0.29572567,0.50433856,0.31120023,0.34909558,0.39532447,0.11212264,0.42588758,0.10146129,0.4006687,0.1770534,0.38632593,0.11840707,0.35022125,0.13579482,0.32452124,0.06769067,0.32053846,0.0980063,0.3688125,0.15912296,0.33601925,0.11444685,0.35434955,0.12914443,0.31750482,0.123340674,0.3321664,0.116483435,0.0,,0.7858027219772339,,9,5,V-Guard,Social Media Reel 15s
R00002,AD001,0.22817726,0.6936664,0.43847796,0.441324,0.31291834,0.26768366,0.13294914,0.38322288,0.17073168,0.0,0.4099772,0.5152567,0.21547559,0.44564432,0.4893157,0.35357448,0.17302224,0.22256184,0.22615841,0.33896476,0.34847057,0.21900988,0.39275005,0.32193744,0.21253024,0.10786449,0.36597988,0.23802279,0.25899386,0.711359,0.3038733,0.5119511,0.40481496,0.47911134,0.26071507,0.304744,0.29188457,0.19971994,0.5524039,0.5417499,0.5863718,0.41889447,0.2219292,0.1844352,0.35609972,0.16809861,0.2777993,0.53309315,0.31434593,0.7425215,0.41989782,0.2752699,0.21374461,0.4725761,0.21221733,0.19389337,0.48945367,0.27430445,0.398302,0.3209024,0.25323743,0.15340036,0.48245502,0.1692177,0.3013799,0.5423758,0.29532984,0.43583828,0.41209275,0.44391927,0.39228648,0.26321843,0.26506835,0.14986472,0.47306353,0.27457303,0.4539043,0.3078408,0.26138246,0.2125189,0.53703296,0.22626413,0.27972037,0.5167549,0.23239943,0.38234866,0.3957815,0.49266422,0.38067272,0.23441951,0.36011407,0.22309092,0.5016895,0.3504448,0.39838153,0.30060062,0.27842486,0.1324619,0.32254344,0.14113273,0.7844064235687256,0.24058858,0.44295427,0.26552814,0.32112148,0.30743155,0.36787248,0.40965003,0.2359494,0.25783786,0.35885584,0.17218117,0.3846073,0.17548013,0.39193857,0.15184714,0.3723899,0.09645371,0.3389985,0.13199545,0.28283668,0.09328799,0.29430783,0.11874738,0.34101683,0.17208011,0.30390736,0.12837756,0.3218272,0.13386755,0.3165482,0.07558161,0.36387503,0.101698756,0.0,,0.7844064235687256,,9,1,V-Guard,Social Media Reel 15s
R00003,AD001,0.16408482,0.2763255,0.36958444,0.31887132,0.42596588,0.2717208,0.1537705,0.22694016,0.32152054,0.0,0.40284732,0.1673581,0.3655989,0.19142467,0.4842779,0.3896989,0.14961146,0.09270782,0.4170988,0.30724853,0.22246735,0.35601136,0.41948277,0.41011062,0.34579217,0.16102295,0.23664728,0.332977,0.22828831,0.41399917,0.45925233,0.27926844,0.45044744,0.38736787,0.2074575,0.20445375,0.44457084,0.20622179,0.13518125,0.4878085,0.3049216,0.41689098,0.3321102,0.10812138,0.13396712,0.38912034,0.22949587,0.18705258,0.46570554,0.5034093,0.52991235,0.3981803,0.16923128,0.18841426,0.4224086,0.22634739,0.15330584,0.3514372,0.2184165,0.4258361,0.29614905,0.1524099,0.36418414,0.28769982,0.3433084,0.33170176,0.31330746,0.23930345,0.48147443,0.4920594,0.28454128,0.16835709,0.40283787,0.1746764,0.20057116,0.34596604,0.29824418,0.43008897,0.3355262,0.19709592,0.5705677,0.3490282,0.2699862,0.4191676,0.30365992,0.1785878,0.41895318,0.2928697,0.24512182,0.14752656,0.44187057,0.19192126,0.28952423,0.4023744,0.3896135,0.40042472,0.31207424,0.18598574,0.16674931,0.30062914,0.8039566278457642,0.20192769,0.38153452,0.3469949,0.21570715,0.3489418,0.36085933,0.37410817,0.17854342,0.36454543,0.27937147,0.13894573,0.34375668,0.14847751,0.3416784,0.11020275,0.33965456,0.10639176,0.29562485,0.14378548,0.31019557,0.08744903,0.29325518,0.09412672,0.280976,0.090017624,0.27508733,0.09523855,0.32241833,0.12627846,0.30812916,0.08328723,0.3019715,0.106306635,0.0,,0.8039566278457642,,9,2,V-Guard,Social Media Reel 15s
R00004,AD001,0.12698136,0.6236639,0.52885306,0.45019755,0.3278719,0.28072423,,0.4635494,0.23098427,1.0,0.35486525,0.48483592,0.59000456,0.46076646,0.47574577,0.41190636,,0.29059872,0.23274122,0.16418155,0.36531863,0.37418172,0.39309254,0.31613594,0.29793873,,0.32277882,0.21186991,0.3208874,0.82695687,0.62512046,0.5204186,0.40980193,0.34553033,,0.3831919,0.3166037,0.2829682,0.50838345,0.75350076,0.6484461,0.4488789,0.31038174,,0.4147659,0.29516688,0.31102502,0.51094425,0.6989124,0.7783475,0.4427196,0.37965414,,0.49938828,0.2627134,0.21002826,0.48049253,0.51002574,0.42618394,0.379179,0.32126647,,0.5476197,0.17157418,0.27658823,0.5819593,0.60283315,0.50786304,0.40525803,0.44196478,,0.39887872,0.35071793,0.21079442,0.47084537,0.49013942,0.46023852,0.3506458,0.37317288,,0.6455566,0.21273689,0.2870947,0.60021544,0.544657,0.38705587,0.40013033,0.3908987,,0.28740922,0.42980787,0.17182279,0.4603576,0.481152,0.40442535,0.2939759,0.3144358,,0.3124067,0.1632972,0.6387985944747925,0.25251853,0.5486963,0.5463625,0.3642828,0.3034284,0.30978674,,0.29640016,0.33244672,0.45781147,0.17197296,0.48546308,0.17938533,0.46856388,0.17985043,0.4457579,0.11249366,0.41268304,0.11561329,0.30568722,0.08033321,0.32523417,0.11943726,0.3791032,0.16571414,0.38079622,0.13784656,0.40176624,0.14690508,0.36924025,0.11448684,0.41590863,0.11055082,1.0,,0.6387985944747925,,8,5,V-Guard,Social Media Reel 15s
R00005,AD001,0.29925275,0.6827478,0.29460463,0.43418592,0.35605758,0.33440927,0.2579203,0.46952558,0.14185438,0.0,0.18348688,0.4925875,0.20559113,0.2602246,0.44215792,0.35193434,0.2765397,0.19676676,0.15506838,0.41285482,0.329334,0.31926957,0.34162682,0.33641315,0.15468094,0.14332397,0.25235245,0.1347242,0.24840125,0.7133387,0.2478075,0.3558181,0.46389017,0.43927953,0.35917237,0.31807742,0.22592694,0.30843842,0.5693748,0.49166876,0.44287857,0.4927331,0.2544753,0.2948523,0.3093794,0.14695437,0.36293873,0.5453198,0.41779193,0.64167565,0.46990666,0.2631027,0.32627016,0.33968794,0.12813397,0.2250367,0.48534328,0.22044918,0.31396854,0.38944492,0.35805464,0.31516257,0.49464217,0.099593446,0.20424686,0.57051486,0.27057847,0.4016797,0.41405338,0.45404023,0.59373164,0.28675857,0.25160152,0.25036514,0.4591249,0.25686118,0.3978442,0.36697215,0.3343911,0.35469192,0.6250047,0.13687307,0.1510912,0.5491568,0.19240281,0.2789881,0.41097343,0.46763152,0.40664434,0.26333702,0.30394703,0.31081545,0.48284647,0.29357156,0.35086018,0.3150079,0.27466395,0.2083934,0.2873193,0.09415602,0.6432324647903442,0.15034504,0.5274008,0.23644327,0.25689253,0.34520364,0.3512091,0.48005003,0.25674537,0.33171475,0.36786166,0.13742922,0.38831416,0.15272467,0.37463465,0.15198345,0.38302281,0.14011106,0.2849286,0.11949621,0.26939777,0.10237776,0.29084826,0.104412384,0.36339533,0.15338138,0.3224106,0.12826923,0.35356984,0.13887447,0.32622272,0.119256705,0.33601916,0.13121708,0.0,,0.6432324647903442,,9,3,V-Guard,Social Media Reel 15s
R00006,AD001,0.29446205,0.7160611,0.4406539,0.47460058,0.39405885,0.33583322,,0.5190102,0.25526893,0.0,0.19378488,0.47422755,0.23515931,0.4823338,0.3616872,0.31447402,,0.2556181,0.31531367,0.3720399,0.36426213,0.25494638,0.3920739,0.37658614,0.18239276,,0.27341416,0.30219322,0.23797031,0.7739416,0.2873576,0.5466762,0.4023099,0.42340577,,0.37942412,0.39645833,0.23904237,0.54108614,0.4841955,0.6552799,0.49462387,0.28722966,,0.30514747,0.298849,0.30072826,0.51715237,0.33434185,0.77215236,0.54574233,0.3045458,,0.3609308,0.3399463,0.18669567,0.45711032,0.28138033,0.4188776,0.36098647,0.2849602,,0.6417531,0.21820551,0.1783055,0.57174146,0.3061106,0.50420684,0.39752474,0.46645924,,0.3634466,0.3203082,0.2298323,0.4494484,0.28140283,0.4695818,0.39229196,0.32490566,,0.726518,0.27179697,0.13681397,0.58175105,0.28798854,0.3826135,0.27347568,0.39967668,,0.30490038,0.40991113,0.27405494,0.532713,0.33979034,0.42091104,0.34788784,0.28037205,,0.35753337,0.2381472,0.8134201765060425,0.14779602,0.5298869,0.2804639,0.3770104,0.2587663,0.4186046,,0.329076,0.31833652,0.41318172,0.15003745,0.43444252,0.16578075,0.43094298,0.16631187,0.3885129,0.12499836,0.32907483,0.10592662,0.31473857,0.07415959,0.34892622,0.09388092,0.4287436,0.1468257,0.35624614,0.14838277,0.39322224,0.15977225,0.3324926,0.113910414,0.34714136,0.12980622,0.0,,0.8134201765060425,,8,4,V-Guard,Social Media Reel 15s
R00007,AD001,0.17817543,0.54126614,0.3607914,0.49280262,0.28339693,0.27579194,0.2697787,0.539289,0.32576996,0.0,0.19304244,0.4371904,0.17249446,0.44112796,0.4432313,0.51803905,0.34981441,0.25144833,0.40736985,0.31966498,0.31913906,0.2660544,0.375872,0.33691987,0.31755134,0.23267499,0.26636282,0.35291252,0.16330291,0.64154094,0.25129214,0.5198759,0.3559087,0.39238274,0.47679415,0.38173178,0.4739319,0.17231156,0.45124102,0.5558798,0.63218385,0.3463664,0.32474944,0.40331015,0.36542866,0.41646397,0.20674446,0.45526424,0.31928807,0.71526635,0.3603807,0.39318356,0.4395213,0.3497131,0.45430607,0.16800423,0.40569282,0.2610652,0.3932166,0.25774527,0.32189086,0.33892778,0.6495959,0.3475373,0.16335171,0.54416597,0.30674496,0.49847978,0.32578287,0.49442798,0.5718318,0.37133208,0.37714702,0.17154375,0.40191528,0.26739693,0.43012518,0.23512608,0.3055404,0.35945034,0.6246873,0.36947313,0.1261033,0.5203722,0.22003062,0.38120827,0.33371425,0.42296147,0.485504,0.34658414,0.42107755,0.22213382,0.39988655,0.30303943,0.4308408,0.3381,0.30436102,0.28360525,0.3592248,0.31797755,0.801776111125946,0.15061775,0.44009572,0.24706717,0.34697393,0.25431368,0.34655035,0.46554792,0.34335792,0.35421544,0.4075483,0.13331313,0.41040754,0.13873999,0.4063068,0.14326239,0.40591824,0.13236356,0.35708424,0.12325363,0.30968356,0.04603384,0.32879657,0.06252601,0.36300692,0.1312862,0.34929734,0.1347146,0.3516954,0.13174482,0.3276378,0.097823314,0.36195064,0.12487528,0.0,,0.801776111125946,,9,2,V-Guard,Social Media Reel 15s
R00008,AD001,0.1814138,0.60963345,0.4142208,0.2868303,0.2801909,0.2933476,0.20314743,0.44075856,0.10815895,1.0,0.34049073,0.39223403,0.41993728,0.14200196,0.5069788,0.29576242,0.3347238,0.25220278,0.22945523,0.22497356,0.4181364,0.49706802,0.3546403,0.29816446,0.28590283,0.20946385,0.43685338,0.11738345,0.34353027,0.60475796,0.46960658,0.25553665,0.37146643,0.49763796,0.38509384,0.4066111,0.22156902,0.35152173,0.35089886,0.5223318,0.25952905,0.38066947,0.25512516,0.25151715,0.42707035,0.14650863,0.36978275,0.37163323,0.5336262,0.3987015,0.38231474,0.36827633,0.31675473,0.45230818,0.13205722,0.2606849,0.34123462,0.42707032,0.20497468,0.28192285,0.22620144,0.25626436,0.46924233,0.11153468,0.2812266,0.386813,0.3910418,0.2896662,0.3807271,0.3831485,0.5628578,0.32095006,0.29834956,0.26364508,0.3328488,0.41442028,0.25672066,0.24633172,0.28475446,0.27493238,0.5387751,0.12147418,0.28637806,0.39988476,0.306995,0.20162907,0.34848216,0.38870412,0.393283,0.30544078,0.31854847,0.20339246,0.74657273,0.5733778,0.39306408,0.32539317,0.35083368,0.23671629,0.4923572,0.065688826,0.6673943996429443,0.24049543,0.41544792,0.35495982,0.24109335,0.25670704,0.39044756,0.5079651,0.31838793,0.30603185,0.32724136,0.111922994,0.36949497,0.1083852,0.39508998,0.11888191,0.36608675,0.08656184,0.32375413,0.10939704,0.31584293,0.12228251,0.37637737,0.20578866,0.313078,0.15331712,0.28657,0.11104466,0.30376697,0.117188,0.33683735,0.09001785,0.32770503,0.063516214,1.0,,0.6673943996429443,,9,5,V-Guard,Social Media Reel 15s
R00009,AD001,0.26291966,0.5071239,0.52374464,0.47036892,0.31356198,0.2316594,0.1459032,0.23759864,0.28737932,1.0,0.47633412,0.54222286,0.5012523,0.4416003,0.40345407,0.31017187,0.17681804,0.14944488,0.41049442,0.28081524,0.29392564,0.36023456,0.36963838,0.3249441,0.24524325,0.104392484,0.11750656,0.35875934,0.41599882,0.78335744,0.5672409,0.49905634,0.40546346,0.31999907,0.2742179,0.22685392,0.43606773,0.43092647,0.49567333,0.7728223,0.6197174,0.43133527,0.26421726,0.20020238,0.18267165,0.3643158,0.44904315,0.5105328,0.635008,0.73802143,0.4329358,0.28225234,0.21715938,0.20918272,0.40353715,0.37874675,0.4724882,0.4610903,0.3731657,0.32953468,0.2891183,0.15607318,0.3679749,0.28816321,0.38020417,0.6188305,0.52415377,0.4998474,0.3769388,0.412868,0.41095608,0.25801027,0.37746632,0.315763,0.45544395,0.4230995,0.43850493,0.3314763,0.3192169,0.20222904,0.47035214,0.3442585,0.33933124,0.5811226,0.40713826,0.3790747,0.39212918,0.38054374,0.39753067,0.26217264,0.40005448,0.29965526,0.3424869,0.42702565,0.39276013,0.3033964,0.25920957,0.13914894,0.122715876,0.2754148,0.8155241012573242,0.30769506,0.5172525,0.42616695,0.3375869,0.31648803,0.29968145,0.37321973,0.3116839,0.3393224,0.41798687,0.19439432,0.43085253,0.18039775,0.43647283,0.16828537,0.42880836,0.10468961,0.37908807,0.13914035,0.27282885,0.10054696,0.28464594,0.10247319,0.33113995,0.13568743,0.34626168,0.096476406,0.3667049,0.08703473,0.35878855,0.07141407,0.39323306,0.08367031,1.0,,0.8155241012573242,,9,3,V-Guard,Social Media Reel 15s
R00010,AD001,0.17034557,0.48113635,0.3390638,0.33149663,0.28668424,0.24345013,0.3275878,0.44571128,0.13190041,1.0,0.31105188,0.34065497,0.21180823,0.16114576,0.27288014,0.37735087,0.26418567,0.23362416,0.17089878,0.22154023,0.41468775,0.38147295,0.4070165,0.3209917,0.34996468,0.40209383,0.46258885,0.13838202,0.2303867,0.63471603,0.24112408,0.2587598,0.25536767,0.3800671,0.39438847,0.3575854,0.22428502,0.24723452,0.30039757,0.35811695,0.31820822,0.31698343,0.28484157,0.277211,0.29375657,0.11808678,0.24569562,0.3686449,0.3148588,0.46702296,0.3659181,0.4434828,0.34055975,0.3825596,0.15137753,0.1825898,0.32153362,0.1980763,0.23326378,0.32200775,0.27981156,0.25500333,0.4274899,0.11475338,0.2191232,0.40030065,0.20361058,0.2268659,0.206825,0.41738832,0.5049217,0.2546509,0.23543252,0.13498624,0.3125673,0.20825842,0.2804451,0.30263728,0.3221356,0.28357407,0.47601548,0.17317598,0.25583696,0.46785215,0.20160246,0.2178911,0.20009926,0.40360707,0.37906036,0.22957335,0.34290525,0.18606462,0.6436707,0.44093424,0.40605435,0.27381086,0.2916279,0.45051688,0.5242498,0.071100436,0.7730176448822021,0.1771754,0.48250413,0.22169468,0.19769701,0.1570394,0.34969413,0.45773676,0.27131382,0.2344493,0.27942628,0.067872055,0.34223557,0.09695765,0.33074224,0.13224173,0.29656875,0.11281335,0.26040006,0.07398821,0.34430426,0.103470735,0.36533663,0.17673256,0.30637515,0.11478154,0.25939214,0.09201674,0.27708837,0.09955805,0.28325608,0.1200916,0.2998253,0.100196235,1.0,,0.7730176448822021,,9,4,V-Guard,Social Media Reel 15s
